question,answer,category
خدمات ITI بتستهدف مين؟,بتستهدف كل متعلم شغوف بيدور على فرصته، من سن 9 لحد 99 سنة، من خلال مبادرات ومنح مختلفة بأشكال تقديم متنوعة.,Programs
إيه هي الخمس فئات من الخدمات اللي بيقدمها ITI؟,الخدمات هي: Juniors (الأجيال الصغيرة)، Early Career Build Up (طلبة الجامعة)، Intensive Code-Camps (الخريجين الجدد)، Professional Training Scholarships (الخريجين المتفوقين)، وOutreach & Continuous Education (التعلم مدى الحياة).,Programs
برنامج Juniors في ITI بيستهدف مين وبيقدملهم إيه؟,"برنامج Juniors بيستهدف الأجيال الصغيرة المهتمة بالتكنولوجيا، وشعاره ""هوايات النهارده هي فرص بكرة""، وبيأهلهم في مجالات زي Embedded Systems وCyber Security وGame Development وDigital Art وFilm Making من خلال تدريبات ومشاريع وشهادات.",Programs
برنامج Juniors فيه منصة Online Career Talks؟ فين ألاقيها؟,أيوه، موجودة على منصة maharatech.gov.eg.,Programs
برنامج Early Career Build Up بيستهدف مين؟,بيستهدف طلبة الجامعة (Undergraduates) قبل التخرج، عشان يرفع مستوى جاهزيتهم لسوق العمل.,Programs
إيه هي مبادرات برنامج Early Career Build Up؟,المبادرات هي: Career Talks (لقاءات مع خبراء الصناعة)، Summer Code-Camps (معسكرات تدريبية مكثفة في الإجازة الصيفية ونص العام)، وITEgypt101 Initiative (مقرر اختياري لطلبة السنة الأولى من تخصصات مختلفة يقدملهم مجال تكنولوجيا المعلومات).,Programs
برنامج Intensive Code-Camps (ICC) بيستهدف مين وإيه فكرته؟,"بيستهدف الخريجين الجدد، وشعاره ""التعلم بنكهات مختلفة""، وبيقدم تراكات متنوعة متماشية مع هوية كل محافظة واحتياجاتها زي Textile Design في المحلة، وDesign أثاث 3D في دمياط، والطاقة الشمسية في سيوة، وتطوير مواقع للسياحة في أسوان، والتسويق الرقمي والمحتوى في الغردقة.",Programs
برنامج ICC بيتنفذ إزاي؟,بيتنفذ بالتعاون مع مراكز التدريب في المحافظات، عشان يستفيد من البنية التحتية الموجودة ويوصل لشباب المناطق الريفية.,Programs
برنامج Professional Training Scholarships بيستهدف مين؟,"بيستهدف خريجي الجامعات المصرية المتميزين، بشرط إنهم يكونوا اتخرجوا من مش أكتر من 5 سنين، وشعار البرنامج ""تشكيل المهارات التقنية والشخصية عشان يبقوا مؤهلين للتوظيف"".",Programs
برنامج Professional Training Scholarships بيقدم كام تراك؟,بيقدم أكتر من 32 تراك مختلف.,Programs
نسبة قبول برنامج Professional Training Scholarships كام؟,المتقدمين بيمروا بعملية فرز صارمة لمدة 8 أسابيع، ونسبة القبول 10%.,Programs
نسبة التوظيف المستهدفة لخريجي المنحة كام؟,أكتر من 95%.,Programs
رحلة التعلم في المنحة (9-Months Scholarship Learning Journey) بتتكون من كام مرحلة؟,بتتكون من 5 مراحل: Multi-level Selection Process، Capacity Building، Genuine Industry Engagement، Prototypes and Certifications، وأخيرًا Starting your Career.,Programs
AI Talents Academy بتاعت ITI هي إيه ومنين أقدر أدخل عليها؟,هي مبادرة أطلقها ITI لتأهيل خبراء الذكاء الاصطناعي القادمين، وموقعها https://ai.iti.gov.eg/.,AI Talents Academy
ITI بيتعاون مع Google في مجال الذكاء الاصطناعي إزاي؟,بيتعاون مع Google في تقديم AI Talents Academy بأسلوب مدمج (hybrid) على 3 مستويات (مبتدئ، متوسط، متقدم)، وبيحلوا مشاكل حقيقية باستخدام الـ Machine Learning.,AI Talents Academy
إيه هو تعاون ITI مع EPITA؟,ITI بيقدم برنامج أونلاين مع EPITA (فرنسا) للذكاء الاصطناعي لتدريب المدربين (Train the Trainers - TTT)، بيمزج بين النظري والعملي في مجالي NLP وComputer Vision، والبرنامج مدته 9 شهور ومستهدف 1000 كفاءة مصرية جديدة.,AI Talents Academy
ITI بيوفر محتوى ذكاء اصطناعي أونلاين فين؟,على منصة Mahara-Tech، بيقدم محتوى في Deep Learning وبرامج تانية بالتعاون مع مزودي محتوى وخبراء من الصناعة المصرية.,AI Talents Academy
منصة Mahara-Tech هي إيه؟,"هي منصة تعليمية رقمية مجانية أطلقها ITI، ووصلت لأكتر من 100,000 متعلم بعد شهرين بس من إطلاقها.",Outreach & Continuous Education
إيه المواضيع اللي بتقدمها منصة Mahara-Tech؟,بتقدم محتوى في Mobile Applications وJavaScript وeLearning وSoftware Testing وArtificial Intelligence وInternet of Things وFrontEnd Development وFreelancing وData Science.,Outreach & Continuous Education
منصة Mahara-Tech بتتعاون مع أنهي منصات محتوى عالمية؟,بتتعاون مع منصات زي Coursera وPluralsight لتوسيع الوصول لمحتوى أكتر ثراءً.,Outreach & Continuous Education
منصة Mahara-Tech بتساعد في التوظيف إزاي؟,بتتعاون مع شركاء الصناعة زي Wuzzuf وKhamssaya وMostakel وVodafone Begin عشان توفر فرص عمل ووظائف حرة (freelancing) وعمل عن بعد للشباب المحترف.,Outreach & Continuous Education
ITI أسس أكاديمية إيه لتطوير الألعاب؟,أسس Game Development Academy عشان يخلي مصر من الدول الرائدة في صناعة تطوير الألعاب، وبينظم من خلالها هاكاثونين سنويين.,Casual Learning & Hackathons
إيه هي أهم هاكاثونات الألعاب اللي بينظمها ITI؟,أهمها Annual Game Jam Hackathon (آخر ويك إند في يناير، وحصل على رقمين قياسيين في جينيس سنة 2016 و2018)، وAnnual Run Double Jump Hackathon (حدث ليوم واحد بيتم فيه ترشيح أفضل لعبة للمشاركة في جوائز Indie العالمية).,Casual Learning & Hackathons
Annual Maker-Hackathon بيحصل إمتى وفين؟,بيتعقد سنويًا في فبراير، وبيركز على Fabrication وMechatronics وEmbedded Systems، وبيستضيفه ITI في معمل Maker Space في Smart Village.,Casual Learning & Hackathons
مسابقة RoboCUP Junior Egypt بترعاها مين؟,برعاية وزارة الاتصالات وتكنولوجيا المعلومات (MCIT)، وبالتعاون مع الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري (AASTMT) ومكتبة الإسكندرية وValeo، وبتتعقد سنويًا في مارس.,Casual Learning & Hackathons
هدف مسابقة RoboCUP Junior Egypt إيه؟,الهدف بعيد المدى هو تكوين أول فريق روبوت كرة قدم مصري يفوز بكأس العالم للروبوتات سنة 2050.,Casual Learning & Hackathons
مسابقة Robot Sumo في ITI بتأهل لإيه؟,هي المؤهل الرسمي لبطولة All Japan Robot Sumo Tournament العالمية، اللي بتنظمها منظمة NASA Robot Alliance المعتمدة من FUJITSO، والفرق الفايزة بتسافر تشارك في طوكيو.,Casual Learning & Hackathons
ITI بينظم هاكاثونات في مجال الموبايل والداتا ساينس؟,أيوه، بينظم Annual Mobile Developer Weekend (Mobile Development Hackathon) وAnnual Data Science and Big Data Hackathon، وده بيستخدم بيانات حقيقية من القطاع العام لحل تحديات الدولة.,Casual Learning & Hackathons
ITI عنده تعاون أكاديمي مع أنهي جامعة عالمية؟,عنده اتفاقية تعاون مع جامعة Paderborn الألمانية، عشان خريجي برنامج PTP في Embedded Systems وMechatronics يقدروا يحصلوا على درجة ماجستير في هندسة الحاسبات.,Partnerships
مبادرة Wazeefa-Tech هي إيه؟,مبادرة أطلقها ITI بالتعاون مع المعهد القومي للاتصالات (NTI) ووزارة التضامن الاجتماعي (MoSS)، عشان تربط الشركات باحتياجاتها من الكفاءات الشابة بشكل ربع سنوي.,Partnerships
تمويل برامج ITI بيتغطى إزاي من خلال البنك الأهلي المصري؟,"البنك الأهلي المصري (National Social Bank) بيوفر تكلفة برنامج التدريب حسب التراك المختار من خلال قرض بدون فوائد، والمتدرب بيسدده بعد ما يتوظف على أقساط لحد 3 سنين من غير فوايد أو رسوم إضافية، تحت شعار ""Learn More, Pay Later"".",Partnerships
ITI بيتعاون مع أنهي دول أفريقية؟,بيتعاون في إطار South to South Collaboration مع الصومال وأوغندا وجيبوتي وإريتريا والسودان وبوروندي، من خلال نقل المعرفة والخبرات وبرامج تدريب المدربين وبناء القدرات.,Partnerships
في تعاون معين مع أوغندا؟,أيوه، في مبادرة Train 3000 Ugandans لنقل المعرفة والخبرات.,Partnerships
معدل التوظيف السنوي لخريجي ITI كام؟,85% معدل توظيف سنوي.,Impact & Stats
عدد المتخصصين في IT اللي خرجهم ITI كام؟,"أكتر من 50,000 محترف في مجال تكنولوجيا المعلومات.",Impact & Stats
عدد فروع ITI كام؟,10 فروع.,Impact & Stats
ITI بيتعاون مع كام شركة؟,أكتر من 300 شركة.,Impact & Stats
ITI بيتعاون مع كام جامعة وكلية؟,أكتر من 70 جامعة وكلية.,Impact & Stats
عدد التخصصات التقنية (IT Specializations) اللي بيقدمها ITI كام؟,أكتر من 30 تخصص تقني.,Impact & Stats
عدد مراكز تكنولوجيا المعلومات في المحافظات كام؟,94 مركز IT في المحافظات.,Impact & Stats
عدد الأكاديميات السنوية اللي بيقدمها ITI كام؟,أكتر من 80 أكاديمية سنوية، بتغطي مجالات زي Media وGIS وCyber Security وSW Development وGaming وAI وInnovative Prototypes وغيرها.,Impact & Stats
عدد الإصدارات (Publications) بتاعة ITI كام؟,20 إصدار.,Impact & Stats
عدد الملفات الوظيفية (IT Job Profiles) اللي بيغطيها ITI كام؟,90 ملف وظيفي في مجال تكنولوجيا المعلومات.,Impact & Stats
مين شهد على تجربة ITI من رؤساء الحكومات؟,دكتور روحاكانا روجوندا، رئيس وزراء أوغندا، أشاد بدور ITI في بناء القدرات البشرية لمصر وأوغندا في مجال BPO.,Testimonials & Founders
مين شهد على تجربة ITI من شركة IBM؟,الدكتور جون كيلي، نائب رئيس الأبحاث في IBM، أشاد بموهبة وتعليم طلاب ITI.,Testimonials & Founders
مين مؤسسين معهد ITI؟,المؤسسين هم: د. نبيل النادي، د. هشام الشريف، د. محمد سالم، ود. نبيل سعيد.,Testimonials & Founders
وزراء الاتصالات اللي دعموا ITI مين؟,من بينهم د. أحمد نظيف، د. طارق كامل، د. ماجد عثمان، د. محمد سالم، د. هاني محمود، د. عاطف كامل، د. ياسر القاضي، ود. عمرو طلعت.,Testimonials & Founders
إزاي أتواصل مع ITI؟,تقدر تبعت إيميل على ITIinfo@iti.gov.eg، أو تتصل على +202-35355656، والعنوان: 28 كم طريق مصر إسكندرية الصحراوي، B148 القرية الذكية، مصر.,Contact
