question,answer,track
مين الـ Frontend Developer وهو بيعمل إيه في DEPI؟,Frontend Developer (UI/UX Developer) مسؤول عن تطبيق مبادئ التصميم التفاعلي والبصري على المواقع والتطبيقات عشان يديها تجربة مستخدم كويسة، وبيشتغل بتقنيات زي HTML وCSS وJavaScript وjQuery.,Software Development
عدد ساعات تراك Frontend Developer في DEPI كام؟,إجمالي عدد الساعات لتراك Frontend Developer هو 165 ساعة.,Software Development
أول كورس هتاخده في تراك Frontend Developer؟,"أول كورس في الخطة الدراسية لـ Frontend Developer هو ""HTML5 Essentials"".",Software Development
مين الـ Mobile App Developer وهو بيعمل إيه في DEPI؟,Mobile App Developer مسؤول عن تصميم وتطوير وصيانة تطبيقات الموبايل لمنصتي Android وiOS.,Software Development
عدد ساعات تراك Mobile App Developer في DEPI كام؟,إجمالي عدد الساعات لتراك Mobile App Developer هو 162 ساعة.,Software Development
أول كورس هتاخده في تراك Mobile App Developer؟,"أول كورس في الخطة الدراسية لـ Mobile App Developer هو ""Java Programming Fundamental & OOP"".",Software Development
مين الـ .Net Web Developer وهو بيعمل إيه في DEPI؟,.Net Web Developer بيركز على تقنيات مايكروسوفت زي .net وC#، وشغله بيشمل تصميم وتطوير تطبيقات الويب، وتحليل احتياجات المستخدمين، وتحديث التطبيقات القائمة.,Software Development
عدد ساعات تراك .Net Web Developer في DEPI كام؟,إجمالي عدد الساعات لتراك .Net Web Developer هو 165 ساعة.,Software Development
أول كورس هتاخده في تراك .Net Web Developer؟,"أول كورس في الخطة الدراسية لـ .Net Web Developer هو ""Introduction to SQL Server Programming"".",Software Development
مين الـ PHP Web Developer وهو بيعمل إيه في DEPI؟,Full Stack PHP Web Developer مسؤول عن تصميم وتطوير وصيانة تطبيقات ويب باستخدام PHP والتقنيات المرتبطة بيها.,Software Development
عدد ساعات تراك PHP Web Developer في DEPI كام؟,إجمالي عدد الساعات لتراك PHP Web Developer هو 162 ساعة.,Software Development
أول كورس هتاخده في تراك PHP Web Developer؟,"أول كورس في الخطة الدراسية لـ PHP Web Developer هو ""HTML5 & CSS Fundamentals"".",Software Development
مين الـ Software Tester وهو بيعمل إيه في DEPI؟,Software Tester مسؤول عن ضمان إن منتجات السوفت وير بتحقق معايير الجودة، وبيصمم وينفذ استراتيجيات اختبار فعالة.,Software Development
عدد ساعات تراك Software Tester في DEPI كام؟,إجمالي عدد الساعات لتراك Software Tester هو 162 ساعة.,Software Development
أول كورس هتاخده في تراك Software Tester؟,"أول كورس في الخطة الدراسية لـ Software Tester هو ""Testing fundamentals"".",Software Development
تراك Digital Art في DEPI بيقدم إيه؟,بيمكّن الفنانين إنهم يعبروا عن نفسهم بطرق مبتكرة باستخدام التكنولوجيا والأدوات الرقمية، وبيغطي برامج تحرير الصور والفيديو وبرامج التصميم ثلاثي الأبعاد وأدوات الرسم الرقمي.,Digital Art
كام job profile في تراك Digital Art؟,في 7 وظائف: Digital Marketing Specialist، Autodesk Maya Professional/Character Designer، UI & UX Web Designer، Adobe Motion Graphics Designer، Adobe Video Production Specialist، Adobe Graphics Designer، وAutodesk 3D Designer.,Digital Art
مين الـ Digital Marketing Specialist وهو بيعمل إيه في DEPI؟,Digital Marketing Specialist مسؤول عن إنشاء وتنفيذ الحملات التسويقية الرقمية، وتطوير المحتوى البصري للحملات، وإدارة المواقع ونشر المحتوى، ومتابعة وتحسين الحملات، وكتابة الإعلانات.,Digital Art
عدد ساعات تراك Digital Marketing Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Digital Marketing Specialist هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Digital Marketing Specialist؟,أيوه، لازم يكون عندك Graphic Design Fundamentals وPhotoshop & Illustrator Fundamentals.,Digital Art
مين الـ Autodesk Maya Professional / Character Designer وهو بيعمل إيه في DEPI؟,الكورس ده بيعلّم إنشاء موديلات وشخصيات ثلاثية الأبعاد باستخدام Maya، وبيجهز المتدرب لمجال الـ 3D وتصميم الشخصيات في صناعات زي الأنيميشن والألعاب والتليفزيون والإعلان والسينما.,Digital Art
عدد ساعات تراك Autodesk Maya Professional / Character Designer في DEPI كام؟,إجمالي عدد الساعات لتراك Autodesk Maya Professional / Character Designer هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Autodesk Maya Professional / Character Designer؟,أيوه، لازم يكون عندك Graphic Design Fundamentals وPhotoshop & Illustrator Fundamentals.,Digital Art
مين الـ UI & UX Web Designer وهو بيعمل إيه في DEPI؟,UI & UX Designer بيصمم واجهة المستخدم للتطبيقات والمواقع، وبيتعاون مع مديري المنتج والمهندسين لجمع المتطلبات وتصميم الأفكار عن طريق الـ storyboards وخرائط سير العمل.,Digital Art
عدد ساعات تراك UI & UX Web Designer في DEPI كام؟,إجمالي عدد الساعات لتراك UI & UX Web Designer هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك UI & UX Web Designer؟,لا، تراك UI & UX Web Designer مفيهوش متطلبات سابقة.,Digital Art
مين الـ Adobe Motion Graphics Designer وهو بيعمل إيه في DEPI؟,Motion Graphics Designer بيشتغل بالأنيميشن والصوت والمؤثرات البصرية عشان يعمل محتوى متحرك للتليفزيون والإنترنت والسينما، وبيتعاون مع الفرق الإبداعية.,Digital Art
عدد ساعات تراك Adobe Motion Graphics Designer في DEPI كام؟,إجمالي عدد الساعات لتراك Adobe Motion Graphics Designer هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Adobe Motion Graphics Designer؟,أيوه، لازم يكون عندك Graphic Design Fundamentals وPhotoshop & Illustrator Fundamentals.,Digital Art
مين الـ Adobe Video Production Specialist وهو بيعمل إيه في DEPI؟,Video Production Specialist بيشتغل على مشاريع الفيديو والصوت، من اختيار صيغة الإخراج النهائية لحد استيراد الميديا وتنظيمها ومونتاج اللقطات والملفات الصوتية وإضافة جرافيكس وموسيقى وتعليق صوتي.,Digital Art
عدد ساعات تراك Adobe Video Production Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Adobe Video Production Specialist هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Adobe Video Production Specialist؟,أيوه، لازم يكون عندك Graphic Design Fundamentals وPhotoshop & Illustrator Fundamentals.,Digital Art
مين الـ Adobe Graphics Designer وهو بيعمل إيه في DEPI؟,Graphic Designer بيبتكر تصاميم ونصوص وصور بخط إيده أو ببرامج الكمبيوتر عشان يوصّل أفكار بتلهم أو تعرّف أو تجذب المستهلكين، وبيصمم الشكل العام للإعلانات والبروشورات والمجلات والتقارير.,Digital Art
عدد ساعات تراك Adobe Graphics Designer في DEPI كام؟,إجمالي عدد الساعات لتراك Adobe Graphics Designer هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Adobe Graphics Designer؟,لا، تراك Adobe Graphics Designer مفيهوش متطلبات سابقة.,Digital Art
مين الـ Autodesk 3D Designer وهو بيعمل إيه في DEPI؟,3D Artist بيبني موديلات ثلاثية الأبعاد للمنتجات والبيئات وغيرها، وبيستخدم مهاراته في عمل خامات وإضاءة وصور رندر واقعية لأغراض زي التسويق والإعلانات.,Digital Art
عدد ساعات تراك Autodesk 3D Designer في DEPI كام؟,إجمالي عدد الساعات لتراك Autodesk 3D Designer هو 164 ساعة.,Digital Art
في متطلبات سابقة (Prerequisites) لتراك Autodesk 3D Designer؟,أيوه، لازم يكون عندك Graphic Design Fundamentals وPhotoshop & Illustrator Fundamentals.,Digital Art
تراك AI & Data Science بيركز على إيه؟,بيركز على تطبيق تقنيات علم البيانات والتعلم الآلي لحل مشاكل حقيقية، وبيغطي موضوعات زي machine learning وdeep learning ومعالجة اللغة الطبيعية.,AI & Data Science
كام job profile في تراك AI & Data Science؟,في 5 وظائف: IBM Data Scientist، Microsoft Data Engineer، Microsoft Machine Learning Engineer، AWS Machine Learning Engineer، وGenerative AI Professional.,AI & Data Science
مين الـ IBM Data Scientist وهو بيعمل إيه في DEPI؟,IBM Data Scientist بيستخدم مجموعة مهارات وأدوات مميزة عشان يساعد الشركات تستفيد من بياناتها، وبيقدر يستخرج من البيانات محركات الأداء السابق والمستقبلي وفرص الإيراد الجديدة، وده كله باستخدام تقنيات IBM.,AI & Data Science
عدد ساعات تراك IBM Data Scientist في DEPI كام؟,إجمالي عدد الساعات لتراك IBM Data Scientist هو 174 ساعة.,AI & Data Science
أول كورس هتاخده في تراك IBM Data Scientist؟,"أول كورس في الخطة الدراسية لـ IBM Data Scientist هو ""What is Data Science?"".",AI & Data Science
مين الـ Microsoft Data Engineer وهو بيعمل إيه في DEPI؟,Microsoft Data Engineer بيتعلم يستخدم أدوات مايكروسوفت لإدارة ومعالجة البيانات، ولازم يكون عنده خبرة في SQL ومنصة Azure ومهام DevOps.,AI & Data Science
عدد ساعات تراك Microsoft Data Engineer في DEPI كام؟,إجمالي عدد الساعات لتراك Microsoft Data Engineer هو 174 ساعة.,AI & Data Science
أول كورس هتاخده في تراك Microsoft Data Engineer؟,"أول كورس في الخطة الدراسية لـ Microsoft Data Engineer هو ""Microsoft SQL Essentials"".",AI & Data Science
مين الـ Microsoft Machine Learning Engineer وهو بيعمل إيه في DEPI؟,Microsoft Machine Learning Engineer بيستخدم تقنيات مايكروسوفت عشان يحول البيانات الخام لموديلات علم بيانات قابلة للتطبيق والتوسع، وبيطور خوارزميات تمكّن الأجهزة من معالجة البيانات والتعرف على الأنماط.,AI & Data Science
عدد ساعات تراك Microsoft Machine Learning Engineer في DEPI كام؟,إجمالي عدد الساعات لتراك Microsoft Machine Learning Engineer هو 180 ساعة.,AI & Data Science
أول كورس هتاخده في تراك Microsoft Machine Learning Engineer؟,"أول كورس في الخطة الدراسية لـ Microsoft Machine Learning Engineer هو ""Statistics and Linear Algebra Basics"".",AI & Data Science
مين الـ AWS Machine Learning Engineer وهو بيعمل إيه في DEPI؟,AWS Machine Learning Engineer بيستخدم تقنيات AWS للشغل على الخوارزميات والبيانات والذكاء الاصطناعي، وبيبني ويصمم أنظمة الذكاء الاصطناعي وبيطورها ويحسّنها.,AI & Data Science
عدد ساعات تراك AWS Machine Learning Engineer في DEPI كام؟,إجمالي عدد الساعات لتراك AWS Machine Learning Engineer هو 177 ساعة.,AI & Data Science
أول كورس هتاخده في تراك AWS Machine Learning Engineer؟,"أول كورس في الخطة الدراسية لـ AWS Machine Learning Engineer هو ""AWS Academy Cloud Foundations"".",AI & Data Science
مين الـ Generative AI Professional وهو بيعمل إيه في DEPI؟,الكورس ده بيعلّم المهارات المطلوبة لاستخدام الـ Generative AI في الشغل، وبيغطي الأفكار الأساسية للذكاء الاصطناعي التوليدي، والموديلات بتاعته، والاعتبارات الأخلاقية لاستخدامه.,AI & Data Science
عدد ساعات تراك Generative AI Professional في DEPI كام؟,إجمالي عدد الساعات لتراك Generative AI Professional هو 177 ساعة.,AI & Data Science
أول كورس هتاخده في تراك Generative AI Professional؟,"أول كورس في الخطة الدراسية لـ Generative AI Professional هو ""AI and Generative AI models"".",AI & Data Science
تراك Data Analytics بيركز على إيه؟,بيركز على تحديد احتياجات الأعمال عن طريق تحليل البيانات، عشان تتاخد قرارات مدروسة ويتلاقى حلول لمشاكل الأعمال في صناعات مختلفة.,Data Analytics
كام job profile في تراك Data Analytics؟,في وظيفتين: Data Analyst Specialist وMicrosoft Power BI Engineer.,Data Analytics
مين الـ Data Analyst Specialist وهو بيعمل إيه في DEPI؟,Data Analyst Specialist مسؤول عن تحليل البيانات واستخراج رؤى مفيدة منها باستخدام أدوات وتقنيات متنوعة، وبيراجع جودة البيانات، ويحدد الأنماط والاتجاهات، ويقترح تحسينات في المنتجات والخدمات.,Data Analytics
عدد ساعات تراك Data Analyst Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Data Analyst Specialist هو 201 ساعة.,Data Analytics
أول كورس هتاخده في تراك Data Analyst Specialist؟,"أول كورس في الخطة الدراسية لـ Data Analyst Specialist هو ""Foundations of Data and Data Analytics"".",Data Analytics
مين الـ Microsoft Power BI Engineer وهو بيعمل إيه في DEPI؟,Power BI Engineer مسؤول عن جمع وتحليل وتصور البيانات من مصادر مختلفة باستخدام خدمات Azure، وبيحلل كميات كبيرة من البيانات عشان يلاقي اتجاهات وأنماط ورؤى تساعد في اتخاذ قرارات الأعمال.,Data Analytics
عدد ساعات تراك Microsoft Power BI Engineer في DEPI كام؟,إجمالي عدد الساعات لتراك Microsoft Power BI Engineer هو 162 ساعة.,Data Analytics
أول كورس هتاخده في تراك Microsoft Power BI Engineer؟,"أول كورس في الخطة الدراسية لـ Microsoft Power BI Engineer هو ""Microsoft Azure Fundamentals"".",Data Analytics
تراك Infrastructure & Security بيغطي إيه؟,بيغطي التقنيات والآليات اللازمة لضمان أمان أنظمة الكمبيوتر والبيانات والشبكات وحمايتها من الهجمات الإلكترونية المختلفة.,Infrastructure & Security
كام job profile في تراك Infrastructure & Security؟,في 8 وظائف: Cisco Network Administrator، Cisco Cybersecurity Engineer، Fortinet Cybersecurity Engineer، Google Technical Support Specialist، Azure Cloud Solution Admin & Architect، AWS Cloud Solution Admin & Architect، Cyber Security Incident Response Analyst، وVulnerability Analyst/Penetration Tester.,Infrastructure & Security
مين الـ Cisco Network Administrator وهو بيعمل إيه في DEPI؟,Cisco Network Administrator بيصمم ويركب ويظبط ويصون أجهزة شبكات سيسكو زي الراوترات والسويتشات والفايروول ونقاط الوصول، وبيحل مشاكل الاتصال والأداء والأمان.,Infrastructure & Security
عدد ساعات تراك Cisco Network Administrator في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Cisco Network Administrator هو 180 ساعة، والكورسات الأساسية فيه هي: Cisco CCNA Routing and Switching (200-301 CCNA) وCisco CCNP Enterprise (350-401 ENCOR).,Infrastructure & Security
مين الـ Cisco Cybersecurity Engineer وهو بيعمل إيه في DEPI؟,Cisco Cybersecurity Engineer بيخطط وينفذ ويدير ويراقب إجراءات الأمان لحماية بيانات وأنظمة وشبكات المؤسسة، وبيتعامل مع اختراقات الأمان ويطور أنظمة كشف الفيروسات والتهديدات.,Infrastructure & Security
عدد ساعات تراك Cisco Cybersecurity Engineer في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Cisco Cybersecurity Engineer هو 180 ساعة، والكورسات الأساسية فيه هي: Cisco CCNA Routing and Switching (200-301 CCNA) وCisco CyberOps Associate (200-201 CBROPS).,Infrastructure & Security
مين الـ Fortinet Cybersecurity Engineer وهو بيعمل إيه في DEPI؟,Fortinet Cybersecurity Engineer بيخطط وينفذ ويدير إجراءات الأمان باستخدام تقنيات Fortinet، وبيصمم أنظمة كشف التسلل والفايروول، ويطور سياسات ومعايير الأمان.,Infrastructure & Security
عدد ساعات تراك Fortinet Cybersecurity Engineer في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Fortinet Cybersecurity Engineer هو 168 ساعة، والكورسات الأساسية فيه هي: Cisco CCNA Routing and Switching (200-301 CCNA) وFortinet NSE 4 - FortiOS 7.2 (NSE4_FGT-7.2).,Infrastructure & Security
مين الـ Google Technical Support Specialist وهو بيعمل إيه في DEPI؟,Google Technical Support Specialist بيقدم الدعم الفني للعملاء اللي بيستخدموا منتجات وخدمات جوجل زي Gmail وGoogle Drive وGoogle Cloud Platform، وبيحل مشاكل الأداء والتوافق والأمان.,Infrastructure & Security
عدد ساعات تراك Google Technical Support Specialist في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Google Technical Support Specialist هو 137 ساعة، والكورسات الأساسية فيه هي: Google IT Support Professional.,Infrastructure & Security
مين الـ Azure Cloud Solution Admin & Architect وهو بيعمل إيه في DEPI؟,Azure Cloud Solution Admin & Architect بيبني استراتيجية سحابية واعية ويدير عملية التبني، ويقيّم التطبيقات والأجهزة والبرامج السحابية بانتظام، ويحل مشاكل الاتصال والأداء والأمان.,Infrastructure & Security
عدد ساعات تراك Azure Cloud Solution Admin & Architect في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Azure Cloud Solution Admin & Architect هو 162 ساعة، والكورسات الأساسية فيه هي: Azure Fundamentals.,Infrastructure & Security
مين الـ AWS Cloud Solution Admin & Architect وهو بيعمل إيه في DEPI؟,AWS Cloud Solution Admin & Architect بيستخدم تقنيات AWS عشان يبني استراتيجية سحابية، ويقيّم التطبيقات والأجهزة والبرامج، ويطبق سياسات الأمان زي التشفير والمصادقة.,Infrastructure & Security
عدد ساعات تراك AWS Cloud Solution Admin & Architect في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك AWS Cloud Solution Admin & Architect هو 200 ساعة، والكورسات الأساسية فيه هي: AWS Cloud practitioner.,Infrastructure & Security
مين الـ Cyber Security Incident Response Analyst وهو بيعمل إيه في DEPI؟,Cyber Security Incident Response Analyst مسؤول عن الرد على الحوادث والتهديدات اللي بيرصدها نظام إدارة الاستجابة للحوادث، زي التصيد الاحتيالي ومشاكل الشبكة والإيميل، وبيعمل تحليل للثغرات والامتثال، وبيوثق التقارير الأمنية.,Infrastructure & Security
عدد ساعات تراك Cyber Security Incident Response Analyst في DEPI كام، وإيه الكورسات الأساسية فيه؟,"إجمالي عدد الساعات لتراك Cyber Security Incident Response Analyst هو 120 ساعة، والكورسات الأساسية فيه هي: Intro to Threats, Vulnerabilities, and Incident.",Infrastructure & Security
مين الـ Vulnerability Analyst / Penetration Tester وهو بيعمل إيه في DEPI؟,Vulnerability Analyst / Penetration Tester بيتأكد إن كل اختبارات أمان الشبكة بتتنفذ صح، وبيقدم المساعدة لفرق التطوير بخصوص الثغرات المكتشفة، وبينسق مع فرق التطوير لاختبار الأمان وتقديم تقارير الاختراق.,Infrastructure & Security
عدد ساعات تراك Vulnerability Analyst / Penetration Tester في DEPI كام، وإيه الكورسات الأساسية فيه؟,إجمالي عدد الساعات لتراك Vulnerability Analyst / Penetration Tester هو 120 ساعة، والكورسات الأساسية فيه هي: Intro to Penetration Testing & Red Team Operations.,Infrastructure & Security
تراك Management & ERP بيدرس إيه؟,بيدرس تقنيات تنظيم وإدارة موظفين وموارد الشركات بكفاءة عالية، وتحسين العمليات، وتحقيق الأتمتة، واتخاذ القرارات بناءً على البيانات.,Management & ERP
كام job profile في تراك Management & ERP؟,في 14 وظيفة، بتغطي أنظمة زي Odoo وSAP وOracle وMicrosoft Dynamics (MSD) في مجالات المحاسبة وسلاسل الإمداد والموارد البشرية وإدارة المشاريع.,Management & ERP
مين الـ Odoo Application Consultant وهو بيعمل إيه في DEPI؟,Odoo Application Consultant بيصمم وينفذ وينشر برامج تطبيقات في منظومة Odoo ERP، ومتخصص في تطوير استراتيجيات لتحسين عمليات إدارة الشركة باستخدام أدوات وموديولات Odoo.,Management & ERP
عدد ساعات تراك Odoo Application Consultant في DEPI كام؟,إجمالي عدد الساعات لتراك Odoo Application Consultant هو 198 ساعة.,Management & ERP
أول كورس هتاخده في تراك Odoo Application Consultant؟,"أول كورس في الخطة الدراسية لـ Odoo Application Consultant هو ""ERP Business Introduction and ERP Accounting Concepts"".",Management & ERP
مين الـ Google Project Management وهو بيعمل إيه في DEPI؟,الكورس ده بيجهز المتدرب يبقى مدير مشروع ناجح، وشغله بيشمل المشاركة في تحضير وتنفيذ مشاريع تطبيق العملاء، وحضور الاجتماعات مع العميل، وتحليل العمليات التجارية، ومساعدة المطورين في تخطيط المشروع.,Management & ERP
عدد ساعات تراك Google Project Management في DEPI كام؟,إجمالي عدد الساعات لتراك Google Project Management هو 152 ساعة.,Management & ERP
أول كورس هتاخده في تراك Google Project Management؟,"أول كورس في الخطة الدراسية لـ Google Project Management هو ""Foundations of Project Management"".",Management & ERP
مين الـ SAP Financial Application Consultant وهو بيعمل إيه في DEPI؟,SAP Financials Consultant مسؤول عن تصميم وتنفيذ ونشر برامج تطبيقات في منظومة SAP Financials، ومتخصص في تطوير استراتيجيات لتحسين مشاريع SAP الخاصة بالشركة.,Management & ERP
عدد ساعات تراك SAP Financial Application Consultant في DEPI كام؟,إجمالي عدد الساعات لتراك SAP Financial Application Consultant هو 165 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP Financial Application Consultant؟,"أول كورس في الخطة الدراسية لـ SAP Financial Application Consultant هو ""ERP Introduction and ERP Accounting Concepts"".",Management & ERP
مين الـ SAP SCM Application Consultant وهو بيعمل إيه في DEPI؟,SAP SCM Application Consultant بيصمم وينفذ وينشر برامج تطبيقات في منظومة SAP SCM، ومتخصص في تطوير استراتيجيات لتحسين سلسلة الإمداد والتكلفة والإدارة.,Management & ERP
عدد ساعات تراك SAP SCM Application Consultant في DEPI كام؟,إجمالي عدد الساعات لتراك SAP SCM Application Consultant هو 165 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP SCM Application Consultant؟,"أول كورس في الخطة الدراسية لـ SAP SCM Application Consultant هو ""ERP Business Introduction and ERP SCM Concepts"".",Management & ERP
مين الـ SAP HCM Application Consultant وهو بيعمل إيه في DEPI؟,SAP HCM Consultant مسؤول عن تقديم خدمات استشارية للعملاء عشان يستفيدوا أقصى استفادة من مشاريع SAP HCM، عن طريق تطبيق ودمج قواعد إدارة الموارد البشرية والتقارير في نظام SAP.,Management & ERP
عدد ساعات تراك SAP HCM Application Consultant في DEPI كام؟,إجمالي عدد الساعات لتراك SAP HCM Application Consultant هو 165 ساعة.,Management & ERP
أول كورس هتاخده في تراك SAP HCM Application Consultant؟,"أول كورس في الخطة الدراسية لـ SAP HCM Application Consultant هو ""ERP Business Introduction and ERP HCM Concepts"".",Management & ERP
مين الـ Oracle Digital Accounting Specialist وهو بيعمل إيه في DEPI؟,Oracle Digital Accounting Specialist مسؤول عن الشغل اليومي اللي بيغطي كل موديولات المحاسبة زي الـ GL وحسابات الدائنين والمدينين والبنوك والأصول الثابتة.,Management & ERP
عدد ساعات تراك Oracle Digital Accounting Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Oracle Digital Accounting Specialist هو 81 ساعة.,Management & ERP
أول كورس هتاخده في تراك Oracle Digital Accounting Specialist؟,"أول كورس في الخطة الدراسية لـ Oracle Digital Accounting Specialist هو ""ERP Business Introduction and ERP Accounting Concepts"".",Management & ERP
مين الـ Oracle Digital Supply Chain Specialist وهو بيعمل إيه في DEPI؟,Oracle Digital SCM Specialist مسؤول عن الشغل اليومي اللي بيغطي أنشطة الشراء والمخازن، وبيقدم للعملاء تخصص رقمي يغطي كل مجالات إدارة المواد.,Management & ERP
عدد ساعات تراك Oracle Digital Supply Chain Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Oracle Digital Supply Chain Specialist هو 75 ساعة.,Management & ERP
أول كورس هتاخده في تراك Oracle Digital Supply Chain Specialist؟,"أول كورس في الخطة الدراسية لـ Oracle Digital Supply Chain Specialist هو ""ERP Business Introduction and SCM Concepts"".",Management & ERP
مين الـ Oracle Digital Human Resources Specialist وهو بيعمل إيه في DEPI؟,Oracle Digital HCM Specialist مسؤول عن الشغل اليومي اللي بيغطي البيانات الشخصية والتايم شيت والرواتب، وبيقدم للعملاء تخصص رقمي يغطي كل مجالات الموارد البشرية.,Management & ERP
عدد ساعات تراك Oracle Digital Human Resources Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك Oracle Digital Human Resources Specialist هو 75 ساعة.,Management & ERP
أول كورس هتاخده في تراك Oracle Digital Human Resources Specialist؟,"أول كورس في الخطة الدراسية لـ Oracle Digital Human Resources Specialist هو ""ERP Business Introduction and HR Concepts"".",Management & ERP
مين الـ MSD Digital Accounting Specialist وهو بيعمل إيه في DEPI؟,MSD Digital Accounting Specialist مسؤول عن الشغل اليومي اللي بيغطي كل موديولات المحاسبة زي الـ GL وحسابات الدائنين والمدينين والبنوك والأصول الثابتة، باستخدام نظام MSD.,Management & ERP
عدد ساعات تراك MSD Digital Accounting Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك MSD Digital Accounting Specialist هو 81 ساعة.,Management & ERP
أول كورس هتاخده في تراك MSD Digital Accounting Specialist؟,"أول كورس في الخطة الدراسية لـ MSD Digital Accounting Specialist هو ""ERP Business Introduction and ERP Accounting Concepts"".",Management & ERP
مين الـ MSD Digital Supply Chain Specialist وهو بيعمل إيه في DEPI؟,MSD Digital SCM Specialist مسؤول عن الشغل اليومي اللي بيغطي أنشطة الشراء والمخازن باستخدام نظام MSD.,Management & ERP
عدد ساعات تراك MSD Digital Supply Chain Specialist في DEPI كام؟,إجمالي عدد الساعات لتراك MSD Digital Supply Chain Specialist هو 75 ساعة.,Management & ERP
