question,answer
لو مكتوب Registration closed ده معناه إيه؟,معناه إن التسجيل على الـtrack ظاهر حاليًا كمغلق، مش بالضرورة إن البرنامج اتلغى.
هل كل البرامج لها نفس مدة التدريب؟,لأ، المدة بتختلف حسب المبادرة والـtraining unit والـlevel.
ممكن تقولي إيه هو برنامج Upskilling؟,برنامج من NTI لتطوير مهارات الشباب في الاتصالات وتكنولوجيا المعلومات، وبيقدم training units تقنية وsoft skills مرتبطة باحتياجات سوق العمل.
طب إيه هو برنامج Upskilling؟,برنامج من NTI لتطوير مهارات الشباب في الاتصالات وتكنولوجيا المعلومات، وبيقدم training units تقنية وsoft skills مرتبطة باحتياجات سوق العمل.
ممكن تقولي مين يقدر يقدم؟,المصري اللي عنده مؤهل مناسب أو طالب في السنوات النهائية بجامعة مصرية، مع استيفاء متطلبات الـtrack واجتياز اختبارات القبول.
طب مين يقدر يقدم؟,المصري اللي عنده مؤهل مناسب أو طالب في السنوات النهائية بجامعة مصرية، مع استيفاء متطلبات الـtrack واجتياز اختبارات القبول.
ممكن تقولي هل المنحة ممولة بالكامل؟,أيوه، البرنامج بيمول 100% من تكلفة التدريب حسب الصفحة الرسمية.
طب هل المنحة ممولة بالكامل؟,أيوه، البرنامج بيمول 100% من تكلفة التدريب حسب الصفحة الرسمية.
ممكن تقولي هل الموظفين يقدروا يقدموا؟,أيوه، الـEvening Program مصمم كمان للعاملين والناس اللي مش قادرين يلتزموا بتدريب full-time.
طب هل الموظفين يقدروا يقدموا؟,أيوه، الـEvening Program مصمم كمان للعاملين والناس اللي مش قادرين يلتزموا بتدريب full-time.
ممكن تقولي التدريب أونلاين ولا حضوري؟,الاتنين متاحين حسب الـtraining unit: Interactive Live Sessions أونلاين، أو تدريب حضوري في مقرات NTI والفروع ومراكز الابتكار.
طب التدريب أونلاين ولا حضوري؟,الاتنين متاحين حسب الـtraining unit: Interactive Live Sessions أونلاين، أو تدريب حضوري في مقرات NTI والفروع ومراكز الابتكار.
ممكن تقولي هل الأونلاين live؟,أيوه، المحاضرات بتكون Interactive Live Sessions في الوقت الحقيقي.
طب هل الأونلاين live؟,أيوه، المحاضرات بتكون Interactive Live Sessions في الوقت الحقيقي.
ممكن تقولي هل فيه practical training؟,أيوه، التدريب بيجمع بين النظري والعملي حسب محتوى الـtraining unit.
طب هل فيه practical training؟,أيوه، التدريب بيجمع بين النظري والعملي حسب محتوى الـtraining unit.
ممكن تقولي كام ساعة في الأسبوع؟,الصفحة الرسمية بتذكر 12 ساعة أسبوعيًا للـtraining units المختلفة.
طب كام ساعة في الأسبوع؟,الصفحة الرسمية بتذكر 12 ساعة أسبوعيًا للـtraining units المختلفة.
ممكن تقولي ينفع أسجل في أكتر من unit؟,لأ، مسموح بـtraining unit واحدة فقط في نفس الفترة.
طب ينفع أسجل في أكتر من unit؟,لأ، مسموح بـtraining unit واحدة فقط في نفس الفترة.
ممكن تقولي ينفع آخد units من برامج مختلفة؟,أيوه، ممكن بشرط استيفاء شروط كل training unit.
طب ينفع آخد units من برامج مختلفة؟,أيوه، ممكن بشرط استيفاء شروط كل training unit.
ممكن تقولي كل unit لها امتحان قبول؟,أيوه، كل training unit لها شروطها واختبار قبولها حتى لو كانت في نفس الـtraining axis.
طب كل unit لها امتحان قبول؟,أيوه، كل training unit لها شروطها واختبار قبولها حتى لو كانت في نفس الـtraining axis.
ممكن تقولي باخد شهادة لكل unit؟,أيوه، بيتم إصدار شهادة حضور منفصلة لكل training unit وتشمل تقييم المتدرب.
طب باخد شهادة لكل unit؟,أيوه، بيتم إصدار شهادة حضور منفصلة لكل training unit وتشمل تقييم المتدرب.
ممكن تقولي لو أونلاين محتاج لابتوب؟,أيوه، لازم computer مناسب للـtraining unit واتصال إنترنت مناسب.
طب لو أونلاين محتاج لابتوب؟,أيوه، لازم computer مناسب للـtraining unit واتصال إنترنت مناسب.
ممكن تقولي إمتى التسجيل بيفتح؟,بيتم الإعلان عن التسجيل لما تكون training units المتاحة جاهزة للالتحاق.
طب إمتى التسجيل بيفتح؟,بيتم الإعلان عن التسجيل لما تكون training units المتاحة جاهزة للالتحاق.
ممكن تقولي إمتى بيكلموني للـinterview؟,بيتم إرسال موعد الـpersonal interview خلال أسبوعين من غلق التسجيل.
طب إمتى بيكلموني للـinterview؟,بيتم إرسال موعد الـpersonal interview خلال أسبوعين من غلق التسجيل.
ممكن تقولي نسيت الباسورد؟,حسب الـFAQ مفيش username أو password؛ الدخول بيكون باستخدام الإيميل والرقم القومي.
طب نسيت الباسورد؟,حسب الـFAQ مفيش username أو password؛ الدخول بيكون باستخدام الإيميل والرقم القومي.
ممكن تقولي كتبت بيانات غلط أعمل إيه؟,ابعت إيميل إلى training.department@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
طب كتبت بيانات غلط أعمل إيه؟,ابعت إيميل إلى training.department@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
ممكن تقولي الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
طب الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
ممكن تقولي عايز أنسحب أعمل إيه؟,ابعت withdrawal request قبل بداية التدريب بـ48 ساعة على الأقل إلى training.department@nti.sci.eg، مع الاسم والرقم القومي والـunit ورقم التسجيل.
طب عايز أنسحب أعمل إيه؟,ابعت withdrawal request قبل بداية التدريب بـ48 ساعة على الأقل إلى training.department@nti.sci.eg، مع الاسم والرقم القومي والـunit ورقم التسجيل.
ممكن تقولي عايز أأجل التدريب؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل، وهيتم وضعك على waiting list.
طب عايز أأجل التدريب؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل، وهيتم وضعك على waiting list.
ممكن تقولي غير المصريين ينفع يقدموا؟,لأ، المنحة متاحة للمصريين فقط.
طب غير المصريين ينفع يقدموا؟,لأ، المنحة متاحة للمصريين فقط.
ممكن تقولي إيه أمثلة للتخصصات؟,"منها Networks & Security، Embedded Systems, AI & IoT، Cloud Computing، Information Technology، Fiber Optics، Wireless & Mobile Communication Networks، وCareer Development."
طب إيه أمثلة للتخصصات؟,"منها Networks & Security، Embedded Systems, AI & IoT، Cloud Computing، Information Technology، Fiber Optics، Wireless & Mobile Communication Networks، وCareer Development."
ممكن تقولي إيه هي Huawei ETA؟,هي Egyptian Talents Academy، تعاون بين NTI وHuawei Egypt لتطوير مهارات الطلاب والخريجين المصريين في تقنيات ICT المتقدمة.
طب إيه هي Huawei ETA؟,هي Egyptian Talents Academy، تعاون بين NTI وHuawei Egypt لتطوير مهارات الطلاب والخريجين المصريين في تقنيات ICT المتقدمة.
ممكن تقولي بتدرب في إيه؟,من المجالات Data Communications وSecurity و5G وAI وCloud Computing وBig Data وغيرها.
طب بتدرب في إيه؟,من المجالات Data Communications وSecurity و5G وAI وCloud Computing وBig Data وغيرها.
ممكن تقولي هل موجودة في المحافظات؟,أيوه، التدريب بيتم من خلال فروع NTI وCreativa Innovation Hubs في محافظات مصر.
طب هل موجودة في المحافظات؟,أيوه، التدريب بيتم من خلال فروع NTI وCreativa Innovation Hubs في محافظات مصر.
ممكن تقولي مين يقدر يقدم؟,المصري صاحب مؤهل مناسب أو طالب سنة نهائية في جامعة مصرية، مع استيفاء prerequisites وتقديم المستندات واجتياز اختبارات القبول.
طب مين يقدر يقدم؟,المصري صاحب مؤهل مناسب أو طالب سنة نهائية في جامعة مصرية، مع استيفاء prerequisites وتقديم المستندات واجتياز اختبارات القبول.
ممكن تقولي هل غير المصريين يقدروا يقدموا؟,لأ، البرنامج متاح للمصريين فقط.
طب هل غير المصريين يقدروا يقدموا؟,لأ، البرنامج متاح للمصريين فقط.
ممكن تقولي التدريب أونلاين؟,الـFAQ بتوضح إن التدريب بيتم في مقرات NTI أو مراكز Creativa.
طب التدريب أونلاين؟,الـFAQ بتوضح إن التدريب بيتم في مقرات NTI أو مراكز Creativa.
ممكن تقولي هل فيه تدريب عملي؟,أيوه، فيه نظري وعملي حسب محتوى الـtraining unit.
طب هل فيه تدريب عملي؟,أيوه، فيه نظري وعملي حسب محتوى الـtraining unit.
ممكن تقولي مدة أول مستوى كام؟,وحدات المستوى الأول مدتها 70 ساعة دراسية على الأقل، والمدة بتزيد حسب مستوى التدريب.
طب مدة أول مستوى كام؟,وحدات المستوى الأول مدتها 70 ساعة دراسية على الأقل، والمدة بتزيد حسب مستوى التدريب.
ممكن تقولي الموظفين يقدروا يدخلوا؟,المستويات المتقدمة اللي بتوصل لـExpert مسموح فيها للموظفين لتحسين كفاءتهم.
طب الموظفين يقدروا يدخلوا؟,المستويات المتقدمة اللي بتوصل لـExpert مسموح فيها للموظفين لتحسين كفاءتهم.
ممكن تقولي أقدر أسجل في أكتر من unit؟,لأ، مسموح بوحدة تدريب واحدة في نفس الوقت.
طب أقدر أسجل في أكتر من unit؟,لأ، مسموح بوحدة تدريب واحدة في نفس الوقت.
ممكن تقولي هل لازم أمشي بترتيب معين؟,الترتيب بيعتمد على متطلبات التخصص والوحدة والـprerequisites.
طب هل لازم أمشي بترتيب معين؟,الترتيب بيعتمد على متطلبات التخصص والوحدة والـprerequisites.
ممكن تقولي هل كل unit لها admission test؟,أيوه، كل training unit لها شروط واختبار قبول خاص بها.
طب هل كل unit لها admission test؟,أيوه، كل training unit لها شروط واختبار قبول خاص بها.
ممكن تقولي باخد شهادة لكل unit؟,أيوه، شهادة حضور لكل unit بشكل منفصل وتشمل تقييم المتدرب.
طب باخد شهادة لكل unit؟,أيوه، شهادة حضور لكل unit بشكل منفصل وتشمل تقييم المتدرب.
ممكن تقولي نسبة الحضور كام؟,لازم الحضور يكون على الأقل 80% من إجمالي ساعات البرنامج.
طب نسبة الحضور كام؟,لازم الحضور يكون على الأقل 80% من إجمالي ساعات البرنامج.
ممكن تقولي هل فيه امتحانات؟,أيوه، لازم تكمل البرنامج وتنجح في الاختبارات المطلوبة للحصول على شهادات الحضور وإتمام الكورس.
طب هل فيه امتحانات؟,أيوه، لازم تكمل البرنامج وتنجح في الاختبارات المطلوبة للحصول على شهادات الحضور وإتمام الكورس.
ممكن تقولي إيه مستويات Huawei؟,المسار ممكن يبدأ من الأساسيات ويتدرج إلى HCIA ثم HCIP ثم HCIE حسب الـtrack والمستوى.
طب إيه مستويات Huawei؟,المسار ممكن يبدأ من الأساسيات ويتدرج إلى HCIA ثم HCIP ثم HCIE حسب الـtrack والمستوى.
ممكن تقولي إمتى بيكلموني للـinterview؟,بيتم إرسال الإيميل بموعد المقابلة خلال أسبوعين من غلق التسجيل.
طب إمتى بيكلموني للـinterview؟,بيتم إرسال الإيميل بموعد المقابلة خلال أسبوعين من غلق التسجيل.
ممكن تقولي لو بياناتي غلط؟,ابعت إلى ETA@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
طب لو بياناتي غلط؟,ابعت إلى ETA@nti.sci.eg باسمك بالكامل والرقم القومي لطلب التصحيح.
ممكن تقولي إمتى أعتبر مقبول؟,بعد استيفاء شروط الـunit، وإتمام الـpersonal interview، وتقديم كل المستندات المطلوبة.
طب إمتى أعتبر مقبول؟,بعد استيفاء شروط الـunit، وإتمام الـpersonal interview، وتقديم كل المستندات المطلوبة.
ممكن تقولي الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
طب الشهادة بتطلع إمتى؟,خلال شهر من إتمام الـtraining unit وبتتبعت على الإيميل.
ممكن تقولي عايز أنسحب من ETA؟,ابعت withdrawal request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg مع بياناتك ورقم التسجيل.
طب عايز أنسحب من ETA؟,ابعت withdrawal request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg مع بياناتك ورقم التسجيل.
ممكن تقولي عايز أأجل؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg، وهيتم وضعك على waiting list.
طب عايز أأجل؟,ابعت deferral request قبل البداية بـ48 ساعة على الأقل إلى ETA@nti.sci.eg، وهيتم وضعك على waiting list.
ممكن تقولي إيه هي HireReady؟,منحة كاملة ضمن Digital Egypt Youth لتأهيل خريجي الجامعات المصرية حديثي التخرج بمهارات مطلوبة في سوق الـICT.
طب إيه هي HireReady؟,منحة كاملة ضمن Digital Egypt Youth لتأهيل خريجي الجامعات المصرية حديثي التخرج بمهارات مطلوبة في سوق الـICT.
ممكن تقولي مين يقدر يقدم؟,الخريجون المصريون من الجامعات المصرية اللي ماعداش على تخرجهم خمس سنوات، مع استيفاء شروط الـtrack والقبول.
طب مين يقدر يقدم؟,الخريجون المصريون من الجامعات المصرية اللي ماعداش على تخرجهم خمس سنوات، مع استيفاء شروط الـtrack والقبول.
ممكن تقولي هل الطلاب يقدروا يقدموا؟,الصفحة الرسمية بتستهدف fresh Egyptian university graduates خلال خمس سنوات من التخرج.
طب هل الطلاب يقدروا يقدموا؟,الصفحة الرسمية بتستهدف fresh Egyptian university graduates خلال خمس سنوات من التخرج.
ممكن تقولي عدد المستهدفين كام؟,الصفحة الرسمية تذكر 2500 fresh graduates من الجامعات المصرية على مستوى الجمهورية.
طب عدد المستهدفين كام؟,الصفحة الرسمية تذكر 2500 fresh graduates من الجامعات المصرية على مستوى الجمهورية.
ممكن تقولي مدتها قد إيه؟,4 شهور: 3 شهور تدريب في NTI وشهر on-the-job training في شركة داعمة للـtrack.
طب مدتها قد إيه؟,4 شهور: 3 شهور تدريب في NTI وشهر on-the-job training في شركة داعمة للـtrack.
ممكن تقولي أونلاين ولا حضوري؟,حضوري في مقرات المعهد.
طب أونلاين ولا حضوري؟,حضوري في مقرات المعهد.
ممكن تقولي كام يوم في الأسبوع؟,5 أيام أسبوعيًا.
طب كام يوم في الأسبوع؟,5 أيام أسبوعيًا.
ممكن تقولي كام ساعة يوميًا؟,7 ساعات يوميًا حسب شروط البرنامج.
طب كام ساعة يوميًا؟,7 ساعات يوميًا حسب شروط البرنامج.
ممكن تقولي هل التدريب صباحي؟,أيوه، الجلسات التدريبية بتكون صباحًا حسب الصفحة الرسمية.
طب هل التدريب صباحي؟,أيوه، الجلسات التدريبية بتكون صباحًا حسب الصفحة الرسمية.
ممكن تقولي هل فيه on-the-job training؟,أيوه، شهر تدريب عملي في مقر أحد شركاء الصناعة.
طب هل فيه on-the-job training؟,أيوه، شهر تدريب عملي في مقر أحد شركاء الصناعة.
ممكن تقولي هل فيها soft skills؟,أيوه، فيها technical وpersonal/soft skills upskilling.
طب هل فيها soft skills؟,أيوه، فيها technical وpersonal/soft skills upskilling.
ممكن تقولي هل فيه شهادات؟,أيوه، بعد اجتياز الـtrack بيتم الحصول على شهادات مشتركة من NTI وشركاء الصناعة.
طب هل فيه شهادات؟,أيوه، بعد اجتياز الـtrack بيتم الحصول على شهادات مشتركة من NTI وشركاء الصناعة.
ممكن تقولي هل فيه شركات شريكة؟,أيوه، NTI متعاون مع أكثر من 75 شريكًا من الشركات الوطنية ومتعددة الجنسيات.
طب هل فيه شركات شريكة؟,أيوه، NTI متعاون مع أكثر من 75 شريكًا من الشركات الوطنية ومتعددة الجنسيات.
