question,answer,track
مين الـ Cross Platform Mobile App Developer وهو بيعمل إيه في DEPI Round 3؟,Cross Platform Mobile App Developer مسؤول عن تصميم وتطوير وصيانة تطبيقات موبايل تشتغل على أكتر من منصة، وبيستخدم تقنية Flutter لبناء تطبيقات متجاوبة وسهلة الاستخدام.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب Cross Platform Mobile App Developer؟,أهم التقنيات اللي بيتعلمها Cross Platform Mobile App Developer هي Dart وFlutter وFirebase، ومشروعه بيتعمل له نشر (Deployment) على أندرويد وiOS.,Software Development
مين الـ Software Tester وهو بيعمل إيه في DEPI Round 3؟,Software Tester مسؤول عن ضمان إن منتجات السوفت وير بتحقق معايير الجودة، وبيصمم وينفذ استراتيجيات اختبار فعالة.,Software Development
إيه أهم التقنيات اللي بيتعلمها متدرب Software Tester؟,أهم التقنيات اللي بيتعلمها Software Tester هي منهج ISTQB 4، وأدوات زي Jira وPostman وSelenium.,Software Development
تراك Digital Marketing & Art في DEPI Round 3 بيقدم إيه؟,بيعلّم المتدرب يحول شغفه بالفن لمهنة، عن طريق تعلم الجرافيك ديزاين والموشن جرافيك ومونتاج الفيديو، وتصميم فن ثلاثي الأبعاد باستخدام 3D Max ورفعه لتصاميم VR، وتصميم المواقع والتطبيقات بالـ UI/UX، وكمان التسويق الرقمي عشان يبيع شغله أونلاين.,Digital Marketing & Art
كام job profile في تراك Digital Marketing & Art في Round 3؟,في 6 وظائف: Digital Marketing Specialist، UI & UX Web Designer، Motion Graphics Designer، Graphics Designer، Media Production Influencer، وProfessional 3D & VR Designer.,Digital Marketing & Art
مين الـ Digital Marketing Specialist وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيجهز المتدرب يبقى Digital Marketing Mastermind، هيتعلم تكتيكات تسويق متقدمة، وهيغطي كل حاجة من أساسيات التسويق لحد بناء استراتيجية محتوى، وهيتقن السوشيال ميديا زي فيسبوك وإنستجرام، وكمان الإيميل ماركتينج والموبايل ماركتينج وGoogle Ads وإدارة علاقات العملاء.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب Digital Marketing Specialist؟,أهم التقنيات اللي بيتعلمها Digital Marketing Specialist هي Social Media Marketing وSearch Engine Optimization وGoogle Ads وEmail Marketing وAffiliate Marketing.,Digital Marketing & Art
مين الـ UI & UX Web Designer وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيبدأ المتدرب في مجال UI/UX Design، هيتعلم يكلم المستخدمين الحقيقيين عشان يفهم احتياجاتهم، وينظم المعلومات، ويخلي الأزرار والمنيوهات شغالة صح، وهيشتغل مع مصممين ومبرمجين تانيين.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب UI & UX Web Designer؟,أهم التقنيات اللي بيتعلمها UI & UX Web Designer هي Figma وAdobe XD وAdobe Photoshop & Illustrator (for Web).,Digital Marketing & Art
مين الـ Motion Graphics Designer وهو بيعمل إيه في DEPI Round 3؟,الكورس ده هيطلع الموشن ماستر اللي جوه المتدرب، هيتعلم يعمل Title Sequences تلفت الانتباه، وExplainer Videos، وقصص بالأنيميشن باستخدام الصوت والصورة.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب Motion Graphics Designer؟,أهم التقنيات اللي بيتعلمها Motion Graphics Designer هي Adobe After Effect وElement 3D وAdobe Premiere Pro وAdobe Character Animator.,Digital Marketing & Art
في متطلبات سابقة لتراك Motion Graphics Designer؟,أيوه، مطلوب بورتفوليو أو رابط Behance يوضح إن المتدرب متمكن من Photoshop & Illustrator Fundamentals.,Digital Marketing & Art
مين الـ Graphics Designer وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيرفع مهارات التواصل البصري عند المتدرب، وهيتقن Adobe Creative Suite بالكامل (Photoshop وIllustrator وInDesign)، وهيتعلم تقنيات متقدمة زي التايبوجرافي والتكامل ثلاثي الأبعاد باستخدام Adobe Dimension.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب Graphics Designer؟,أهم التقنيات اللي بيتعلمها Graphics Designer هي Adobe Photoshop وIllustrator وInDesign وDimension.,Digital Marketing & Art
مين الـ Media Production Influencer وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيجهز المتدرب يستفيد من اقتصاد المؤثرين المزدهر، هيتعلم المهارات الأساسية عشان يعمل محتوى جذاب ويبني حضور قوي أونلاين، وهيشتغل بـ Adobe suite بالكامل.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب Media Production Influencer؟,أهم التقنيات اللي بيتعلمها Media Production Influencer هي Adobe Photoshop وPremiere Pro وAfter Effects وAudition، بالإضافة لمهارات How to Influence.,Digital Marketing & Art
مين الـ Professional 3D & VR Designer وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيحول المتدرب لفنان 3ds Max محترف، جاهز لتجارب الـ 3D التقليدية وكمان الـ VR الغامرة، وهيتعلم تصميم منتجات وبيئات وشخصيات معقدة مع تركيز خاص على تحسين التصاميم للـ VR.,Digital Marketing & Art
إيه أهم التقنيات اللي بيتعلمها متدرب Professional 3D & VR Designer؟,أهم التقنيات اللي بيتعلمها Professional 3D & VR Designer هي Autodesk 3D Max وVR Content Creation.,Digital Marketing & Art
في متطلبات سابقة لتراك Professional 3D & VR Designer؟,أيوه، مطلوب بورتفوليو أو رابط Behance يوضح إن المتدرب متمكن من Photoshop & Illustrator Fundamentals.,Digital Marketing & Art
تراك AI & Data Science في DEPI Round 3 بيركز على إيه؟,بيركز على تطبيق تقنيات علم البيانات والتعلم الآلي لحل مشاكل حقيقية، وبيخلي المتدرب يتعرف على موضوعات زي machine learning وdeep learning ومعالجة اللغة الطبيعية.,AI & Data Science
كام job profile في تراك AI & Data Science في Round 3؟,في 5 وظائف: Generative AI Professional، Microsoft Machine Learning Engineer، Data Scientist، Microsoft Data Engineer، وHuawei Big Data Engineer.,AI & Data Science
مين الـ Generative AI Professional وهو بيعمل إيه في DEPI Round 3؟,المتدرب هيتعلم المهارات المطلوبة لاستخدام الـ Generative AI في شغله، وهيستكشف الأفكار الأساسية للذكاء الاصطناعي التوليدي وموديلاته، وهيتعرف على الاعتبارات الأخلاقية لاستخدامه.,AI & Data Science
إيه أهم التقنيات اللي بيتعلمها متدرب Generative AI Professional؟,أهم التقنيات اللي بيتعلمها Generative AI Professional هي Machine Learning وDeep Learning وNLP وComputer Vision وGenerative Models زي LLM وGANs وHugging Face.,AI & Data Science
مين الـ Microsoft Machine Learning Engineer وهو بيعمل إيه في DEPI Round 3؟,المتدرب هيتعلم يستخدم تقنيات مايكروسوفت عشان يحول البيانات الخام لموديلات علم بيانات قابلة للتطبيق والتوسع، وهيطور خوارزميات تمكّن الأجهزة من معالجة البيانات والتعرف على الأنماط.,AI & Data Science
إيه أهم التقنيات اللي بيتعلمها متدرب Microsoft Machine Learning Engineer؟,أهم التقنيات اللي بيتعلمها Microsoft Machine Learning Engineer هي Azure AI Fundamentals وAzure AI Engineer Associate وMLOps Tools وMLflow وHugging Face.,AI & Data Science
في حاجة معينة لازم أجهزها قبل ما أبدأ تراك Microsoft Machine Learning Engineer؟,المتقدم هيحتاج يعمل حساب على Microsoft Azure عشان يكمل التراك، وعملية التسجيل ممكن تطلب كارت ائتمان أو إيميل جامعي (.edu).,AI & Data Science
مين الـ Data Scientist وهو بيعمل إيه في DEPI Round 3؟,الكورس ده مصمم من IBM، والـ Data Scientist بيستخدم مجموعة مهارات وأدوات مميزة عشان يساعد الشركات تستفيد من بياناتها، وبيقدر يستخرج من البيانات محركات الأداء وفرص الإيراد الجديدة.,AI & Data Science
إيه أهم التقنيات اللي بيتعلمها متدرب Data Scientist؟,أهم التقنيات اللي بيتعلمها Data Scientist هي Python وSQL وData Analysis with Python وMachine Learning with Python.,AI & Data Science
مين الـ Microsoft Data Engineer وهو بيعمل إيه في DEPI Round 3؟,Microsoft Data Engineer بيتعلم يستخدم أدوات مايكروسوفت لإدارة ومعالجة البيانات، ولازم يكون عنده خبرة في SQL ومنصة Azure.,AI & Data Science
إيه أهم التقنيات اللي بيتعلمها متدرب Microsoft Data Engineer؟,أهم التقنيات اللي بيتعلمها Microsoft Data Engineer هي Implementing a SQL Data Warehouse وAzure Data Fundamentals وAzure Data Engineer Associate.,AI & Data Science
مين الـ Huawei Big Data Engineer وهو بيعمل إيه في DEPI Round 3؟,باستخدام تقنيات Huawei بشكل أساسي، الـ Huawei Big Data Engineer بيصمم سوفت وير وبرامج وخوارزميات بتساعد في التعامل مع البيانات الضخمة (Big Data)، وبتاخد قرارات مستقلة من غير توجيه مباشر.,AI & Data Science
إيه أهم التقنيات اللي بيتعلمها متدرب Huawei Big Data Engineer؟,أهم التقنيات اللي بيتعلمها Huawei Big Data Engineer هي HCIA-Big Data Training وHCIP-Big Data Developer Training وBig Data-Data Mining Training.,AI & Data Science
تراك Data Analytics في DEPI Round 3 بيركز على إيه؟,بيركز على الحصول على رؤى مفيدة من البيانات لدعم عملية اتخاذ القرار، عن طريق تعلم طرق تحليل البيانات المختلفة وتطبيق نماذج إحصائية وأدوات علم بيانات حديثة.,Data Analytics
كام job profile في تراك Data Analytics في Round 3؟,في وظيفتين: Data Analyst Specialist وMicrosoft Power BI Specialist.,Data Analytics
مين الـ Data Analyst Specialist وهو بيعمل إيه في DEPI Round 3؟,Data Analyst Specialist مسؤول عن تحليل البيانات واستخراج رؤى مفيدة منها، وبيصمم تصورات بيانات وتقارير، وبيراجع جودة البيانات، وبيحدد الأنماط باستخدام أدوات الـ data mining والتحليل الإحصائي.,Data Analytics
إيه أهم التقنيات اللي بيتعلمها متدرب Data Analyst Specialist؟,أهم التقنيات اللي بيتعلمها Data Analyst Specialist هي Python وSQL وTableau وMicrosoft Power BI.,Data Analytics
مين الـ Microsoft Power BI Specialist وهو بيعمل إيه في DEPI Round 3؟,Power BI Specialist مسؤول عن جمع وتحليل وتصور البيانات من مصادر مختلفة باستخدام خدمات Azure، وبيبني dashboards وتقارير، وبيتعامل مع مشاكل جودة البيانات.,Data Analytics
إيه أهم التقنيات اللي بيتعلمها متدرب Microsoft Power BI Specialist؟,أهم التقنيات اللي بيتعلمها Power BI Specialist هي Power BI (DAX، PowerQuery، Dashboards) وTableau.,Data Analytics
تراك Infrastructure & Security في DEPI Round 3 بيغطي إيه؟,بيغطي التقنيات والآليات اللازمة لضمان أمان أنظمة الكمبيوتر والبيانات والشبكات وحمايتها من الهجمات الإلكترونية المختلفة.,Infrastructure & Security
كام job profile في تراك Infrastructure & Security في Round 3؟,في 6 وظائف: Huawei Network Administrator، Fortinet Cybersecurity Engineer، Information Security Analyst، Cyber Security Incident Response Analyst، Vulnerability Analyst and Penetration Tester، وForensics Investigator.,Infrastructure & Security
مين الـ Huawei Network Administrator وهو بيعمل إيه في DEPI Round 3؟,Huawei Network Administrator بيركب ويظبط أجهزة شبكات Huawei زي الراوترات والسويتشات والفايروول، وبيراقب أداء الشبكة، وبيحل مشاكل الاتصال والأمان والإعدادات.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Huawei Network Administrator؟,أهم التقنيات اللي بيتعلمها Huawei Network Administrator هي HCIA Datacom Fast Track وHCIP Datacom Core وHCIP Datacom Advanced.,Infrastructure & Security
مين الـ Fortinet Cybersecurity Engineer وهو بيعمل إيه في DEPI Round 3؟,Fortinet Cybersecurity Engineer بيخطط وينفذ إجراءات الأمان باستخدام تقنيات Fortinet، وبيصمم أنظمة كشف التسلل والفايروول، ويحافظ على شبكات VPN وبروتوكولات الويب وأمان الإيميل.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Fortinet Cybersecurity Engineer؟,أهم التقنيات اللي بيتعلمها Fortinet Cybersecurity Engineer هي Cisco CCNA Routing and Switching وFCP Network Security - FortiGate Administration وFortiManager Administration.,Infrastructure & Security
مين الـ Information Security Analyst وهو بيعمل إيه في DEPI Round 3؟,Information Security Analyst بيشفّر نقل البيانات عشان يحمي المعلومات السرية، وبينصح ويطبق ويصون أنظمة الأمان، وبيحلل ويحقق في أنظمة كشف المتسللين.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Information Security Analyst؟,أهم التقنيات اللي بيتعلمها Information Security Analyst هي SOC Essential Concepts وIncident Detection with SIEM وIncident Response & Management.,Infrastructure & Security
في متطلبات سابقة لتراك Information Security Analyst؟,أيوه، لازم يكون عندك معرفة أساسية بالـ IT/Cyber Security والهاردوير والشبكات، ومعرفة بمتجهات التهديد (Threat Vectors).,Infrastructure & Security
مين الـ Cyber Security Incident Response Analyst وهو بيعمل إيه في DEPI Round 3؟,Cyber Security Incident Response Analyst بيرد على الحوادث والتهديدات اللي بيرصدها نظام إدارة الاستجابة، زي التصيد الاحتيالي ومشاكل الشبكة والإيميل، وبيعمل تحليل للثغرات ويوثق التقارير الأمنية.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Cyber Security Incident Response Analyst؟,أهم التقنيات اللي بيتعلمها Cyber Security Incident Response Analyst هي Threats & Vulnerabilities وFinding/Fixing Security Vulnerabilities وProject: Navigating a Cybersecurity Incident.,Infrastructure & Security
في متطلبات سابقة لتراك Cyber Security Incident Response Analyst؟,أيوه، مطلوب أساسيات الشبكات (Network basics).,Infrastructure & Security
مين الـ Vulnerability Analyst and Penetration Tester وهو بيعمل إيه في DEPI Round 3؟,Vulnerability Analyst / Penetration Tester بيتأكد إن كل اختبارات أمان الشبكة بتتنفذ صح، وبيقدم الدعم لفرق التطوير بخصوص الثغرات المكتشفة، وبيشتغل مع فريق عالمي موزع على مناطق زمنية مختلفة.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Vulnerability Analyst and Penetration Tester؟,أهم التقنيات اللي بيتعلمها Vulnerability Analyst / Penetration Tester هي Reconnaissance وScanning & Research وGaining/Maintaining Access وCovering Tracks & Reporting.,Infrastructure & Security
في متطلبات سابقة لتراك Vulnerability Analyst and Penetration Tester؟,أيوه، مطلوب أساسيات الشبكات (Network basics).,Infrastructure & Security
مين الـ Forensics Investigator وهو بيعمل إيه في DEPI Round 3؟,Forensics Investigator بيغطي سيناريوهات التحقيق الجنائي الرقمي، وبيجهز المشاركين بمهارات التحقيقات الجنائية الرقمية الفعالة، من البحث والضبط لحد التحليل والتقارير.,Infrastructure & Security
إيه أهم التقنيات اللي بيتعلمها متدرب Forensics Investigator؟,أهم التقنيات اللي بيتعلمها Forensics Investigator هي Computer Forensics وData Acquisition and Duplication وWindows/Linux/Mac Forensics وWeb Application & Email Forensics.,Infrastructure & Security
في متطلبات سابقة لتراك Forensics Investigator؟,أيوه، مطلوب معرفة أساسية بالـ IT/Cyber Security والتحقيق الجنائي الرقمي والاستجابة للحوادث، ومعرفة بمتجهات التهديد، ومعرفة اختبار الاختراق تعتبر ميزة إضافية.,Infrastructure & Security
تراك Management & ERP في DEPI Round 3 بيدرس إيه؟,بيدرس تقنيات تنظيم وإدارة موظفين وموارد الشركات بكفاءة عالية، وتحسين العمليات، وتحقيق الأتمتة، واتخاذ القرارات بناءً على البيانات، وبيغطي أنظمة زي MS Dynamics 365 وOdoo وSAP S/4HANA.,Management & ERP
كام job profile في تراك Management & ERP في Round 3؟,في 5 وظائف: Odoo Application Consultant، SAP S/4HANA End-to-End Business Processes Specialist، SAP S/4HANA Digital Accounting Specialist، MSD Financial Application Consultant، وMSD HCM Application Consultant.,Management & ERP
مين الـ Odoo Application Consultant وهو بيعمل إيه في DEPI Round 3؟,Odoo Application Consultant بيصمم وينفذ وينشر برامج تطبيقات في منظومة Odoo ERP، ومتخصص في تطوير استراتيجيات لتحسين عمليات إدارة الشركة باستخدام أدوات وموديولات Odoo.,Management & ERP
إيه أهم اللي بيتعلمه متدرب Odoo Application Consultant؟,أهم اللي بيتعلمه Odoo Application Consultant هو Accounting Implementation Management وInventory Implementation Management وPurchasing Cycle وHuman Resources Cycle Implementation Management.,Management & ERP
في متطلبات سابقة لتراك Odoo Application Consultant؟,أيوه، التراك ده مخصص للخريجين بس (Grads only).,Management & ERP
مين الـ SAP S/4HANA End-to-End Business Processes Specialist وهو بيعمل إيه في DEPI Round 3؟,الكورس ده بيقدم العمليات التجارية الأساسية من البداية للنهاية في SAP S/4HANA، وبيغطي موديولات زي المالية والمشتريات والتصنيع والمبيعات وسلسلة الإمداد، وبيوضح إزاي وظائف الأعمال المختلفة مترابطة جوه SAP S/4HANA.,Management & ERP
إيه أهم اللي بيتعلمه متدرب SAP S/4HANA End-to-End Business Processes Specialist؟,أهم اللي بيتعلمه المتدرب هو Record-to-Report وRecruit-to-Retire وSource-to-Pay وDesign-to-Operate وLead-to-Cash processes.,Management & ERP
في متطلبات سابقة لتراك SAP S/4HANA End-to-End Business Processes Specialist؟,أيوه، التراك ده مخصص للخريجين بس (Graduate only).,Management & ERP
مين الـ SAP S/4HANA Digital Accounting Specialist وهو بيعمل إيه في DEPI Round 3؟,SAP S/4HANA Financial Accounting (FI) هو موديول أساسي في نظام SAP، ومصمم عشان يساعد المؤسسات تدير معاملاتها المالية والتقارير بكفاءة، والكورس ده بيدي معرفة عملية بالعمليات المالية اليومية والتقارير المالية وإجراءات إقفال الفترة المالية.,Management & ERP
إيه أهم اللي بيتعلمه متدرب SAP S/4HANA Digital Accounting Specialist؟,أهم اللي بيتعلمه المتدرب هو General Ledger وAccounts Payable/Receivable وAsset Accounting وBank Accounting وControlling Overview.,Management & ERP
في متطلبات سابقة لتراك SAP S/4HANA Digital Accounting Specialist؟,أيوه، التراك ده مخصص للخريجين بس (Graduate only).,Management & ERP
مين الـ MSD Financial Application Consultant وهو بيعمل إيه في DEPI Round 3؟,MSD Financials Consultant مسؤول عن تصميم وتنفيذ ونشر برامج تطبيقات في منظومة MSD Financials، ومتخصص في تطوير استراتيجيات لتحسين مشاريع MSD الخاصة بالشركة.,Management & ERP
إيه أهم اللي بيتعلمه متدرب MSD Financial Application Consultant؟,أهم اللي بيتعلمه المتدرب هو MSD General Ledger وAccounts Payable/Receivable وFixed Assets وBudgeting and Forecasting.,Management & ERP
في متطلبات سابقة لتراك MSD Financial Application Consultant؟,أيوه، مطلوب 5 سنين خبرة في المحاسبة المالية.,Management & ERP
مين الـ MSD HCM Application Consultant وهو بيعمل إيه في DEPI Round 3؟,MSD HCM Consultant مسؤول عن تقديم خدمات استشارية للعملاء، عشان يستفيدوا أقصى استفادة من مشاريع MSD HCM، عن طريق تطبيق ودمج قواعد إدارة الموارد البشرية والتقارير في نظام MSD.,Management & ERP
إيه أهم اللي بيتعلمه متدرب MSD HCM Application Consultant؟,أهم اللي بيتعلمه المتدرب هو Recruitment and Onboarding وPersonnel Management وCompensation and Benefits وPerformance Management.,Management & ERP
في متطلبات سابقة لتراك MSD HCM Application Consultant؟,أيوه، مطلوب 5 سنين خبرة في إدارة الموارد البشرية.,Management & ERP
